2021-09-15 01:18:26,814 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:22,990 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:32,775 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:36,494 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:46,275 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:49,990 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:59,778 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:44:03,493 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:44:13,275 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:44:16,991 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 12:57:41,537 DEBUG reactor.util.Loggers$LoggerFactory [main] Using Slf4j logging framework
2021-09-15 12:57:43,349 DEBUG reactor.util.Loggers$LoggerFactory [main] Using Slf4j logging framework
2021-09-15 12:57:49,838 INFO com.redislabs.connect.core.JobManagerProvider [main] Loading JobManager with store implementation : RedisStream
2021-09-15 12:57:50,237 DEBUG reactor.util.Loggers$LoggerFactory [main] Using Slf4j logging framework
2021-09-15 12:57:50,860 INFO com.redislabs.connect.core.JobManagerProvider [main] Loading JobManager with store implementation : RedisList
2021-09-15 12:57:50,860 INFO com.redislabs.connect.core.JobManagerProvider [main] getJobManager() called for store implementation : {}
2021-09-15 12:58:01,111 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:04,258 INFO redisconnect [JobManagement-1] Server type configured as - postgres
2021-09-15 12:58:04,261 INFO redisconnect [JobManagement-1] Reading Mapper Config from : ../config/redisaml/postgres//mappers
2021-09-15 12:58:04,572 INFO redisconnect [JobManagement-1] Loaded Config for : public.amlcases
2021-09-15 12:58:14,613 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:22,435 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:28,116 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:35,935 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:41,613 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:49,438 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:58:55,112 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:02,939 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:08,616 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:16,437 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:22,115 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:29,936 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:35,616 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:43,437 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:49,115 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 12:59:56,939 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:02,616 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:10,439 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:16,112 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:23,936 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:29,615 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:37,437 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:43,114 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:50,936 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:00:56,615 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:04,437 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:10,113 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:17,936 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:23,615 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:31,437 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:37,115 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:44,936 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:50,615 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:01:58,437 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:04,111 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:11,939 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:17,615 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:25,439 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:31,111 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:38,939 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:44,615 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:52,439 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:02:58,115 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:05,939 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:11,615 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:19,439 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:25,113 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:32,939 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:38,613 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:46,439 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:52,115 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:03:59,938 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:05,613 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:13,438 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:19,113 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:26,938 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:32,613 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:40,438 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:46,111 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:53,938 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:04:59,612 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:07,439 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:13,112 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:20,928 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:26,593 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:34,414 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:40,085 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:47,909 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:05:53,583 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:01,406 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:07,082 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:14,905 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:20,577 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:28,405 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:34,079 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:41,905 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:47,579 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:06:55,405 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:01,078 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:08,904 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:14,582 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:22,404 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:28,080 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:35,904 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:41,582 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:49,404 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:07:55,079 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:02,904 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:08,581 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:16,404 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:22,078 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:29,904 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:35,581 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:43,404 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:49,079 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:08:56,904 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:02,580 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:10,404 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:16,079 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:23,905 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:29,580 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:37,404 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:43,077 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:50,904 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:09:56,581 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
2021-09-15 13:10:04,404 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-3710@Joses-MBP.hsd1.fl.comcast.net , expiry : 30000
